filename,T,H,muX,muC,epsilon_X,epsilon_C,sigma_X,sigma_C,dx,vacuum,initial_guess
0001,200,10,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0002,200,10,-2250,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0003,200,10,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0004,200,10,-2250,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0005,200,10,-2250,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0006,200,10,-2250,-750,1000,1000,1.0,1.0,0.02,10,0.01
0007,200,10,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0008,200,10,-1900,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0009,200,10,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0010,200,10,-1900,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0011,200,10,-1900,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0012,200,10,-1900,-750,1000,1000,1.0,1.0,0.02,10,0.01
0013,200,10,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0014,200,10,-1550,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0015,200,10,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0016,200,10,-1550,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0017,200,10,-1550,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0018,200,10,-1550,-750,1000,1000,1.0,1.0,0.02,10,0.01
0019,200,10,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0020,200,10,-1200,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0021,200,10,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0022,200,10,-1200,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0023,200,10,-1200,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0024,200,10,-1200,-750,1000,1000,1.0,1.0,0.02,10,0.01
0025,200,10,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0026,200,10,-850,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0027,200,10,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0028,200,10,-850,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0029,200,10,-850,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0030,200,10,-850,-750,1000,1000,1.0,1.0,0.02,10,0.01
0031,200,10,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0032,200,10,-500,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0033,200,10,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0034,200,10,-500,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0035,200,10,-500,-1100,1000,1000,1.0,1.0,0.02,10,0.01
